nombre,ip,BR_min,canal_id
ITELTV-RTMP-IPTV,237.2.2.1,3.0,canal_1
AMERICA-TV-303,237.2.2.2,3.8,canal_2
TV PUBLICA HD,237.2.2.3,5.1,canal_3
Canal 9 HD,237.2.2.4,3.1,canal_4
TELEFE INTERIOR,237.2.2.5,3.8,canal_5
CH13 NACIONAL,237.2.2.6,4.5,canal_6
T5 SATELITAL,237.2.2.7,2.0,canal_7
TODO NOTICIAS,237.2.2.8,3.0,canal_8
A24-TV-304,237.2.2.9,2.8,canal_9
CANAL 26,237.2.2.10,1.1,canal_10
C5N,237.2.2.11,1.1,canal_11
CRONICA TV,237.2.2.12,1.1,canal_12
LN+,237.2.2.13,1.1,canal_13
RURAL,237.2.2.14,1.6,canal_14
TyCS NACIONAL,237.2.2.15,5.8,canal_15
FOX SPORTS,237.2.2.16,3.2,canal_16
FS2 Argentina,237.2.2.17,3.3,canal_17
FS3 Argentina,237.2.2.18,3.1,canal_18
ESPN,237.2.2.19,3.0,canal_19
ESPN2,237.2.2.20,3.2,canal_20
ESPN3,237.2.2.21,3.2,canal_21
ESPN EXTRA,237.2.2.22,3.2,canal_22
DEPORTV HD,237.2.2.23,1.6,canal_23
AMERICA SPORTS,237.2.2.24,1.7,canal_24
DISCOVERY KIDS,237.2.2.25,1.2,canal_25
CARTOON NETWORK,237.2.2.26,1.0,canal_26
Disney,237.2.2.27,1.2,canal_27
NICKELODEON,237.2.2.28,1.2,canal_28
Disney Junior,237.2.2.29,1.2,canal_29
CTO ARG AC3 HD,237.2.2.30,1.0,canal_30
NICK JR,237.2.2.31,1.2,canal_31
PAKA PAKA,237.2.2.32,1.2,canal_32
TNT ARG HD AC3,237.2.2.33,2.0,canal_33
WB,237.2.2.34,2.0,canal_34
SONY,237.2.2.35,2.2,canal_35
SPACE ARGENTINA HD AC3,237.2.2.36,3.1,canal_36
A&E,237.2.2.37,1.9,canal_37
TNT NOVELAS,237.2.2.38,2.7,canal_38
AXN,237.2.2.39,2.0,canal_39
CINECANAL,237.2.2.40,2.7,canal_40
STAR Channel Argentina (ST210),237.2.2.41,3.9,canal_41
DEPELICULA-TV-103,237.2.2.42,1.7,canal_42
TELEMUNDO-TV-202,237.2.2.43,2.2,canal_43
FX,237.2.2.44,2.7,canal_44
STUDIO-TV-302,237.2.2.45,3.1,canal_45
UNIVERSAL-TV-204,237.2.2.46,2.7,canal_46
SYFY-TV-102,237.2.2.47,1.7,canal_47
PARAMOUNT,237.2.2.48,4.2,canal_48
CINEAR,237.2.2.49,1.6,canal_49
Europa HD,237.2.2.50,1.5,canal_50
AMC South,237.2.2.51,2.2,canal_51
CINEMAX-TV-204,237.2.2.52,2.1,canal_52
I-Sat Sur AC-3,237.2.2.53,1.1,canal_53
TCM ARG AC3,237.2.2.54,0.9,canal_54
VOLVER,237.2.2.55,3.3,canal_55
GOLDEN,237.2.2.56,2.3,canal_56
E,237.2.2.57,1.9,canal_57
Turbo Latin HD,237.2.2.58,1.9,canal_58
H-H Argentina HD,237.2.2.59,2.0,canal_59
Garage TV,237.2.2.60,1.9,canal_60
GLITZ SUR PAL AC3,237.2.2.61,1.5,canal_61
Adult Swim Latin HD,237.2.2.62,1.8,canal_62
Food Network Latin HD SPA,237.2.2.63,4.2,canal_63
TLC Argentina HD,237.2.2.64,5.0,canal_64
CANAL DE LAS ESTRELLAS,237.2.2.65,4.0,canal_65
Film  Arts LATAM HD,237.2.2.66,1.9,canal_66
Gourmet South HD,237.2.2.67,1.9,canal_67
Mas Chic Latam,237.2.2.68,1.9,canal_68
CANAL A,237.2.2.69,1.7,canal_69
METRO,237.2.2.70,1.7,canal_70
MAGAZINE,237.2.2.71,2.2,canal_71
ENCUENTRO HD,237.2.2.72,1.7,canal_72
TEC TV,237.2.2.73,1.1,canal_73
CONSTRUIR TV,237.2.2.74,1.6,canal_74
Argentinisima HD,237.2.2.75,1.4,canal_75
HGLA HD SPA,237.2.2.76,2.5,canal_76
SCIENCE,237.2.2.77,4.0,canal_77
DISCOVERY,237.2.2.78,2.8,canal_78
WORLD,237.2.2.79,3.3,canal_79
Theater HD SPA,237.2.2.80,2.2,canal_80
HISTORY,237.2.2.81,2.9,canal_81
HISTORY2,237.2.2.82,2.2,canal_82
NATGEO,237.2.2.83,2.5,canal_83
LOVE NATURE,237.2.2.84,2.0,canal_84
ID,237.2.2.85,2.5,canal_85
ANIMAL PLANET HD,237.2.2.86,2.5,canal_86
HTV HD,237.2.2.87,2.5,canal_87
MTV,237.2.2.88,2.0,canal_88
QUIERO,237.2.2.89,2.5,canal_89
CM,237.2.2.90,3.0,canal_90
MTV80,237.2.2.91,1.0,canal_91
NUEVO TIEMPO,237.2.2.92,2.0,canal_92
EWTN,237.2.2.93,3.0,canal_93
ENLACE,237.2.2.94,1.5,canal_94
UNIFE,237.2.2.95,1.5,canal_95
CANAL LUZ,237.2.2.96,1.5,canal_96
